Genome	Pas_cpn60	Pas_fusA	Pas_gltA	Pas_pyrG	Pas_recA	Pas_rplB	Pas_rpoB	ST	Scheme	clonal_complex	species	CC	Assigned IC	Corrected IC
Chr_20_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_21_1.fna	1	1	2	2	3	4	4	32	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
Chr_217_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_231_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_233_1.fna	3	41	6	1	3	4	5	154	abaumannii#2		Acinetobacter baumannii	30	Not IC	Not IC
Chr_236_5.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_237_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_238_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_239_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_240_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_241_2.fna	1	62	3	2	40	4	4	388	abaumannii#2		Acinetobacter baumannii	52	Not IC	Not IC
Chr_242_3.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_243_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_245_2.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_246_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_248_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_249_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_250_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_251_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_252_2.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_253_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_254_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_255_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_257_2.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_259_1.fna	3	1	2	1	18	1	48	221	abaumannii#2		Acinetobacter baumannii	38	Not IC	Not IC
Chr_267_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_269_1.fna	12	37	2	2	3	2	14	267	abaumannii#2		Acinetobacter baumannii	27	Not IC	Not IC
Chr_27_1.fna	3	41	6	1	3	4	5	154	abaumannii#2		Acinetobacter baumannii	30	Not IC	Not IC
Chr_272_1.fna	1	3	11	5	3	1	14	2371	abaumannii#2			31	Not IC	Not IC
Chr_273_1.fna	3	3	2	2	3	1	3	3	abaumannii#2		Acinetobacter baumannii	4	IC3	IC3
Chr_279_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_280_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_28_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_287_2.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
Chr_305_1.fna	3	2	2	7	9	4	5	438	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
Chr_306_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_31_1.fna	1	3	13	1	5	8	12	29	abaumannii#2		Acinetobacter baumannii	28	Not IC	Not IC
Chr_320_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_332_1.fna	3	3	2	2	3	1	3	3	abaumannii#2		Acinetobacter baumannii	4	IC3	IC3
Chr_368_4.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_370_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_372_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_373_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_376_1.fna	1	3	10	1	4	4	4	23	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_380_1.fna	2	2	2?	2	2	2	2	new_alleles	abaumannii#2			NA	NA	NA
Chr_383_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_385_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_387_1.fna	2	6	2	2	2	2	2	45	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_390_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_391_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_392_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_393_14.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_394_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_397_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_40_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_407_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_409_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_410_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_411_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_412_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_413_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_414_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_417_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_418_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_419_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_420_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_421_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_422_1.fna	1	1	~1	1	5	1	1	new_alleles	abaumannii#2			NA	NA	NA
Chr_424_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_425_4.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_426_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_427_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_428_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_431_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_43_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_432_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_433_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_438_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_441_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_442_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_444_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_445_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_446_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_447_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_448_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_449_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_451_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_454_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_456_1.fna	3	1	1	1	5	1	1	20	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_457_1.fna	1	3	2	2	9	1	5	1035	abaumannii#2			53	Not IC	Not IC
Chr_465_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_470_1.fna	4	1	2	2	4	1	5	5	abaumannii#2		Acinetobacter baumannii	39	Not IC	Not IC
Chr_47_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_472_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_473_1.fna	4	1	2	2	4	1	5	5	abaumannii#2		Acinetobacter baumannii	39	Not IC	Not IC
Chr_478A_1.fna	3	2	7	2	7	1	3	126	abaumannii#2		Acinetobacter baumannii	18	Not IC	Not IC
Chr_478B_1.fna	3	3	2	2	3	1	3	3	abaumannii#2		Acinetobacter baumannii	4	IC3	IC3
Chr_480_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_481B_4.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_48_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_482_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_483_1.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_484_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_485_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_487_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_489_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_490_5.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_492_1.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
Chr_498_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_50_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_51_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_52_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_53_1.fna	3	3	16	1	13	1	1	106	abaumannii#2		Acinetobacter baumannii	54	Not IC	Not IC
Chr_55_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_56_2.fna	1	3	2	1	4	4	4	10	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
Chr_576_5.fna	1	3	13	1	5	8	12	29	abaumannii#2		Acinetobacter baumannii	28	Not IC	Not IC
Chr_582_1.fna	1	4	6	2	9	1	2	new_ST	abaumannii#2			NA	NA	NA
Chr_587_1.fna	1	3	13	1	5	8	12	29	abaumannii#2		Acinetobacter baumannii	28	Not IC	Not IC
Chr_593_1.fna	3	2	2	7	9	4	5	438	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
Chr_595_2.fna	3	2	2	1	29	4	4	1140	abaumannii#2		Acinetobacter baumannii	22	Not IC	Not IC
Chr_609_1.fna	3	~3	2	2	3	1	3	new_alleles	abaumannii#2			NA	NA	NA
Chr_610_1.fna	3	~3	2	2	3	1	3	new_alleles	abaumannii#2			NA	NA	NA
Chr_613_1.fna	3	3	2	2	109	2	95	762	abaumannii#2			32	Not IC	Not IC
Chr_614_1.fna	3	3	2	2	109	2	95	762	abaumannii#2			32	Not IC	Not IC
Chr_615_1.fna	3	3	2	2	109	2	95	762	abaumannii#2			32	Not IC	Not IC
Chr_616_2.fna	1	52	2	2	67	1	2	1526	abaumannii#2			56	Not IC	Not IC
Chr_62_1.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
Chr_622_1.fna	1	1	1	1	5	1	4	231	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_625_3.fna	1	1	1	1	5	1	4	231	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_627_2.fna	1	1	1	1	5	1	4	231	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_629_3.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_63_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_641_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_642_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_643_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_644_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_645_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_647_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_650_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_65_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_653_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_659_4.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_66_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_663_2.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
Chr_664_2.fna	26	2	2	2	29	4	5	79	abaumannii#2		Acinetobacter baumannii	6	IC5	IC5
Chr_666_1.fna	3	3	2	4	7	2	4	25	abaumannii#2		Acinetobacter baumannii	3	IC7	IC7
Chr_669_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_671_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_673_1.fna	3	3	2	2	3	1	3	3	abaumannii#2		Acinetobacter baumannii	4	IC3	IC3
Chr_674_1.fna	3	3	2	2	3	1	3	3	abaumannii#2		Acinetobacter baumannii	4	IC3	IC3
Chr_677_5.fna	6	6	8	2	3	5	30	84	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_678_2.fna	6	6	8	2	3	5	30	84	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_679_1.fna	6	6	8	2	3	5	30	84	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_680_1.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_681_2.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_682_1.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_683_2.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_684_2.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_686_3.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_687_2.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_688_1.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_690_2.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_692_1.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_693_1.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_694_2.fna	6	6	8	2	3	5	4	15	abaumannii#2		Acinetobacter baumannii	8	IC4	IC4
Chr_733_1.fna	2	3	2	2	2	2	2	492	abaumannii#2		Acinetobacter baumannii	0	IC2	Not IC
Chr_737_1.fna	6	78	2	2	73	4	141	1061	abaumannii#2			57	Not IC	Not IC
Chr_739_1.fna	3	1	10	1	4	4	5	new_ST	abaumannii#2			NA	NA	NA
Chr_740_1.fna	1	137	6	2	102	1	2	new_ST	abaumannii#2			NA	NA	NA
Chr_741_1.fna	56	2	55	2	9	4	14	1198	abaumannii#2		Acinetobacter baumannii	60	Not IC	Not IC
Chr_742_1.fna	1	4	2	2	7	1	2	216	abaumannii#2		Acinetobacter baumannii	14	Not IC	Not IC
Chr_743_1.fna	3	3	3	4	7	4	4	113	abaumannii#2		Acinetobacter baumannii	19	IC7	IC7
Chr_744_1.fna	3	3	3	4	7	4	4	113	abaumannii#2		Acinetobacter baumannii	19	IC7	IC7
Chr_745_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_746_1.fna	3	3	3	4	7	4	4	113	abaumannii#2		Acinetobacter baumannii	19	IC7	IC7
Chr_747_1.fna	3	3	3	4	7	4	4	113	abaumannii#2		Acinetobacter baumannii	19	IC7	IC7
Chr_748_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_749_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_750_1.fna	1	3	7	2	59	8	5	2167	abaumannii#2			33	Not IC	Not IC
Chr_752_2.fna	3	3	6	4	3	1	5	new_ST	abaumannii#2			NA	NA	NA
Chr_753_1.fna	3	3	3	4	7	4	4	113	abaumannii#2		Acinetobacter baumannii	19	IC7	IC7
Chr_754_2.fna	1	3	7	2	59	8	5	2167	abaumannii#2			33	Not IC	Not IC
Chr_755_1.fna	3	3	3	4	7	4	4	113	abaumannii#2		Acinetobacter baumannii	19	IC7	IC7
Chr_756_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_758_2.fna	25	3	6	2	28	1	29	78	abaumannii#2		Acinetobacter baumannii	7	IC6	IC6
Chr_759_1.fna	1	1	2	2	3	4	4	32	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
Chr_760_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_761_1.fna	25	3	6	2	28	1	29	78	abaumannii#2		Acinetobacter baumannii	7	IC6	IC6
Chr_762_1.fna	1	1	2	2	3	4	2	53	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
Chr_764_1.fna	1	1	2	2	3	4	4	32	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
Chr_765_3.fna	1	3	7	2	59	8	5	2167	abaumannii#2			33	Not IC	Not IC
Chr_768_1.fna	1	1	2	2	3	4	4	32	abaumannii#2		Acinetobacter baumannii	11	Not IC	Not IC
Chr_769_3.fna	8	3	14	1	7	1	4	new_ST	abaumannii#2			NA	NA	NA
Chr_771_2.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_774_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_775_2.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_776_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_792_2.fna	1	3	13	1	5	8	12	29	abaumannii#2		Acinetobacter baumannii	28	Not IC	Not IC
Chr_807_1.fna	3	2	2	7	9	4	5	438	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
Chr_830_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_832_1.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
Chr_89_1.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
Chr_95_1.fna	3	3	141	1	468	1	197	new_ST	abaumannii#2			NA	NA	NA
Chr_A46_1.fna	3	2	2	7	9	1	5	52	abaumannii#2		Acinetobacter baumannii	10	Not IC	Not IC
GCA_000015425.1_ASM1542v1_genomic.fna	3	2	2	2	30	4	28	437	abaumannii#2		Acinetobacter baumannii	4	IC3	Not IC
GCA_000018445.1_ASM1844v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000021245.2_ASM2124v2_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_000069205.1_ASM6920v1_genomic.fna	3	29	30	1	9	1	4	17	abaumannii#2		Acinetobacter baumannii	62	Not IC	Not IC
GCA_000069245.1_ASM6924v1_genomic.fna	1	1	1	1	5	1	1	1	abaumannii#2		Acinetobacter baumannii	1	IC1	IC1
GCA_000186665.4_ASM18666v4_genomic.fna	12	37	2	2	3	2	14	267	abaumannii#2		Acinetobacter baumannii	27	Not IC	Not IC
GCA_000187205.4_ASM18720v4_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000188215.1_ASM18821v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000189735.2_ASM18973v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000226275.2_ASM22627v2_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000302575.1_ASM30257v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000372585.2_ASM37258v2_genomic.fna	1	4	2	2	7	1	4	239	abaumannii#2		Acinetobacter baumannii	14	Not IC	Not IC
GCA_000419385.1_ASM41938v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
GCA_000419405.1_ASM41940v1_genomic.fna	1	3	10	1	4	4	4	23	abaumannii#2		Acinetobacter baumannii	2	IC8	IC8
GCA_000419425.1_ASM41942v1_genomic.fna	2	2	2	2	2	2	2	2	abaumannii#2		Acinetobacter baumannii	0	IC2	IC2
